2024-11-20 08:14:12,835 - INFO - Started Telegram Scraping Process.
2024-11-20 08:14:14,337 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-20 08:14:16,576 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:14,859 - INFO - Phone migrated to 4
2024-11-20 08:15:14,965 - INFO - Reconnecting to new data center 4
2024-11-20 08:15:15,737 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-20 08:15:15,738 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:15,739 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-20 08:15:18,301 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-20 08:15:33,622 - INFO - Successfully connected to Telegram.
2024-11-20 08:16:13,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:13,650 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:13,771 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:14,054 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:14,183 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:14,304 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:14,412 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:14,650 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:14,914 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:15,043 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:15,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:15,270 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:15,394 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:15,548 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:15,840 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:15,967 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:16,096 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:16,225 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:16,342 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:16,487 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:16,603 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:16,978 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:17,291 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:17,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:17,685 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:17,936 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:18,048 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
