2024-11-19 10:25:31,394 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:34,625 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:36,511 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:44,040 - ERROR - Failed to connect to Telegram: The phone number is invalid (caused by SendCodeRequest)
2024-11-19 10:25:50,809 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:50,810 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:50,908 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:57,966 - INFO - Phone migrated to 4
2024-11-19 10:25:58,109 - INFO - Reconnecting to new data center 4
2024-11-19 10:25:58,329 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-19 10:25:58,330 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:58,331 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-19 10:25:59,972 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-19 10:26:16,571 - INFO - Successfully connected to Telegram.
2024-11-19 10:27:20,374 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:20,649 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:20,918 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:21,042 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:21,288 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:21,528 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:21,662 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:21,792 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:21,949 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:22,263 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:22,399 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:22,541 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:26,907 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:32,246 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:39,293 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:39,499 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:39,670 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:39,835 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:40,004 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:40,115 - INFO - File lives in another DC
2024-11-19 10:27:40,116 - INFO - Connecting to 149.154.175.59:443/TcpFull...
2024-11-19 10:27:42,280 - INFO - Connection to 149.154.175.59:443/TcpFull complete!
2024-11-19 10:27:42,280 - INFO - Exporting auth for new borrowed sender in DcOption(id=1, ip_address='149.154.175.59', port=443, ipv6=False, media_only=False, tcpo_only=False, cdn=False, static=False, this_port_only=False, secret=None)
2024-11-19 10:27:44,010 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:44,481 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:44,689 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:44,982 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:45,137 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:45,289 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:45,420 - INFO - File lives in another DC
2024-11-19 10:27:45,741 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:27:45,885 - INFO - File lives in another DC
